id_compra;numero_ata;codigo_uasg;nome_uasg;data_assinatura;data_vigencia_inicio;data_vigencia_fim;valor_total_ata;objeto;modalidade;link_pncp;numero_controle_pncp
15813205900112024;00014/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-06-27T00:00:00;2024-07-01;2025-07-01;7184.6;Contratação de serviços comuns de engenharia, sob demanda, para assistência técnica e manutenção preventiva e corretiva, com fornecimento de mão de obra, peças, materiais, insumos, componentes e acessórios, para aparelhos de ar- condicionado VRF e Split convencional, cortinas de ar, exaustores, bebedouros, freezers e refrigeradores, além da instalação, desinstalação e remanejamento de equipamentos, quando necessário, elaboração do Plano de Manutenção, Operação e Controle (PMOC) e realização de Diagnóstico Microbiológico da qualidade do ar, visando o atendimento das demandas do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) - Campus Coxim.;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/28/2;10673078000120-1-000028/2024-000002
15813205901852024;00091/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-12-13T00:00:00;2024-12-14;2025-12-14;2940.0;Aquisição de materiais comuns para atender as demandas do NAPNE das unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/72/8;10673078000120-1-000072/2024-000008
15813205900062024;00015/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-07-16T00:00:00;2024-07-17;2025-07-17;913431.77;Contratação de serviços de Cozinheira, Auxiliar de Cozinha, Chefe de Cozinha e Copeira;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/14/1;10673078000120-1-000014/2024-000001
15813205902592024;00082/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-12-23T00:00:00;2024-12-26;2025-12-26;128584.5;Aquisição de materiais esportivos - Itens remanescentes do PE 90005/2024;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/70/1;10673078000120-1-000070/2024-000001
15813205902592024;00821/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-12-23T00:00:00;2024-12-26;2025-12-26;8460.0;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS - Itens Remanescentes do PE 90005/2024 - Ata 82.1/2024 - Continuação dos itens da Ata 82/2024;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/70/6;10673078000120-1-000070/2024-000006
15813205900142024;90014/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-12-05T00:00:00;2024-12-06;2025-12-06;1167765.72;Contratação de empresa especializada na prestação de serviço terceirizado de vigilância e segurança patrimonial para o IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/80/1;10673078000120-1-000080/2024-000001
15813205900072024;00041/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-22;2025-08-22;2342.5;Aquisição de alimentos para os campi Aquidauana, Campo Grande, Corumbá, Coxim, Dourados, Três Lagoas, Naviraí e Jardim do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/38/4;10673078000120-1-000038/2024-000004
15813205900052024;00028/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-15T00:00:00;2024-08-16;2025-08-16;74368.0;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/5;10673078000120-1-000034/2024-000005
15813205900052024;00026/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-22T00:00:00;2024-08-23;2026-08-23;3488.97;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/11;10673078000120-1-000034/2024-000011
15813205900052024;00029/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-22T00:00:00;2024-08-23;2025-08-23;14000.0;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/12;10673078000120-1-000034/2024-000012
15813205900052024;00030/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-29T00:00:00;2024-08-30;2026-08-30;4475.34;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/23;10673078000120-1-000034/2024-000023
15813205900052024;00031/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-15T00:00:00;2024-08-16;2025-08-16;40633.0;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/6;10673078000120-1-000034/2024-000006
15813205900052024;00034/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-15T00:00:00;2024-08-16;2026-08-16;110809.3;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/7;10673078000120-1-000034/2024-000007
15813205900052024;00035/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-19T00:00:00;2024-08-20;2025-08-20;16020.0;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/16;10673078000120-1-000034/2024-000016
15813205900052024;00037/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-21T00:00:00;2024-08-22;2025-08-22;4014.0;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/18;10673078000120-1-000034/2024-000018
15813205900052024;00032/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-22T00:00:00;2024-08-26;2025-08-26;3564.0;Aquisição de Materiais Esportivos para atender as demandas das aulas de Ed. Física do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/34/13;10673078000120-1-000034/2024-000013
15813205900102024;00045/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2026-08-21;381319.53;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/1;10673078000120-1-000026/2024-000001
15813205900102024;00047/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2025-08-21;38961.0;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/20;10673078000120-1-000026/2024-000020
15813205900102024;00059/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2025-08-21;4000.0;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/9;10673078000120-1-000026/2024-000009
15813205900102024;00060/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2025-08-21;169722.0;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/24;10673078000120-1-000026/2024-000024
15813205900102024;00061/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2025-08-21;42656.49;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/11;10673078000120-1-000026/2024-000011
15813205900072024;00043/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-19T00:00:00;2024-08-23;2025-08-21;1250485.42;Registro de Preços para aquisição de gêneros alimentícios para atendimento  da alimentação escolar dos campi do Instituto Federal de Mato Grosso do Sul,  presentes nos Municípios de Aquidauana, Campo Grande, Corumbá, Coxim,  Dourados, Três Lagoas, Naviraí e Jardim;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/38/2;10673078000120-1-000038/2024-000002
15813205900102024;00062/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2025-08-21;206665.99;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/12;10673078000120-1-000026/2024-000012
15813205900102024;00063/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2026-08-21;5599.83;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/13;10673078000120-1-000026/2024-000013
15813205900102024;00065/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2025-08-21;27690.0;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/14;10673078000120-1-000026/2024-000014
15813205900102024;00066/2024;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;2024-08-20T00:00:00;2024-08-21;2025-08-21;274850.0;Eventual contratação de equipamentos e utensílios para utilização na cozinha para o fornecimento próprio de merenda nas unidades do IFMS;Pregão;https://pncp.gov.br/app/atas/10673078000120/2024/26/15;10673078000120-1-000026/2024-000015
