id_compra;numero_controle_pncp;numero_processo;lei_14133;uasg;sigla_campus;unidade_nome;modalidade;objeto;responsavel_declaracao;cargo_declaracao;responsavel_ratificacao;cargo_ratificacao;valor_estimado;valor_homologado;situacao;data_publicacao;amparo_legal_nome;origem_master
15845205000042018;;23347008172201843;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de filtros e óleos lubrificantes para a manutenção dos tratores New Holland 7630 e TT4030 pertencentes ao campus Nova Andradina;MARCIENE NASCIMENTO DE BRITO;Pregoeira;;;11319.91;5322.32;homologado;2018-11-23;;LEG_E3
15845205000012019;;23347014714201817;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Contratação de serviço de vigilância armada 12x36, de forma ininterrupta, para atender as demandas do Campus Nova Andradina e demais campi do IFMS;EDUARDO FERNANDES VIEIRA DOS SANTOS;Pregoeiro;;;1988530.80;1503023.04;homologado;2019-02-12;;LEG_E3
15845205000022019;;23347019293201811;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Concessão onerosa de espaço físico com vista à exploração comercial de serviços de cantina escolar, com fornecimento de materiais e mão de obra para atendimento aos estudantes e comunidade em geral do IFMS campus Nova Andradina.;EDUARDO FERNANDES VIEIRA DOS SANTOS;Pregoeiro;;;63.29;0.00;aberto;2019-04-08;;LEG_E3
15845205000032019;;23347006863201993;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Contratação de serviços de limpeza, asseio conservação, bem como serviços de apoio operacional, para atendimento das demandas do IFMS Campus Nova Andradina e demais campi participantes;EDUARDO FERNANDES VIEIRA DOS SANTOS;Pregoeiro;;;2163087.48;1955443.66;homologado;2019-06-14;;LEG_E3
15845205000072019;;23347.021233.2019;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de equipamentos para os laboratórios de Ciências Agrárias do IFMS, Campus Nova Andradina.;MARCIENE NASCIMENTO DE BRITO;Pregoeira;;;207938.72;84526.28;homologado;2019-12-02;;LEG_E3
15845205000042019;;23347020379201977;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Contratação de empresa especializada para prestação de serviço de transporte escolar para atender as demandas do IFMS-Campus Nova Andradina.;EDUARDO FERNANDES VIEIRA DOS SANTOS;Pregoeiro;;;9.07;6.25;homologado;2019-12-10;;LEG_E3
15845205000062019;;23347021049201907;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de materiais de consumo para uso nas aulas práticas de agrárias do IFMS Campus Nova Andradina.;MARCIENE NASCIMENTO DE BRITO;Assistente em Administração;;;42144.28;21524.50;homologado;2020-03-12;;LEG_E3
15845205000012020;;23347005933202020;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços terceirizados de Motorista, Recepcionista, Tratorista e Inspetor de Escola, de natureza continuada, com fornecimento e dedicação exclusiva de mão de obra uniformizada, materiais e equipamentos para o exercício dos trabalhos nas dependências do IFMS, campus Nova Andradina;EDUARDO FERNANDES VIEIRA DOS SANTOS;Pregoeiro;;;300649.32;175568.47;homologado;2020-06-23;;LEG_E3
15845205000022020;;23347011326202007;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de implementos agrícolas para atender as demandas do IFMS Campus Nova Andradina.;MARCIENE NASCIMENTO DE BRITO SANTANA;Pregoeira;;;69044.00;64725.00;homologado;2020-12-07;;LEG_E3
15845205000032020;;23347009749202059;False;158452;NA;INST.F.DE ED.,CIENC.E TEC.DO MS/C.N ANDRADINA;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de materiais de consumo para atender as demandas da Moradia Estudantil do IFMS Campus Nova Andradina.;MARCIENE NASCIMENTO DE BRITO SANTANA;Pregoeira;;;193799.66;40555.86;homologado;2020-12-08;;LEG_E3
15584903000012017;;23347000762201747;False;155849;NV;;CONCORRÊNCIA;Concessão de Espaço Físico (Bem Público ) para fins Comerciais (lanchonete/restaurante/ cantina), a título gratuito, em área do Prédio provisório do Instituto Federal de Educação, Ci ência e Tecnologia de Mato Grosso do SulIFMS Campus Naviraí, Rua Hilda, 203, Bairro Boa V ista , NaviraíMS;MATHEUS BORNELLI DE CASTRO;Ordenador de Despesas;;;0;0;Publicado;2017-02-20;;LEG_E1
15584905000022018;;23347010187201791;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Contratação de serviço de gerenciamento de abastecimento de veículos oficiais.;MATHEUS BORNELLI DE CASTRO;Ordenador de Despesas;;;259098.06;230331.72;aberto;2018-01-31;;LEG_E3
15584905000032018;;23347001120201846;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de equipamentos para laboratório de física;PAULA RENATA CAMESCHI DE SOUZA;Pregoeira;;;310412.95;103870.31;homologado;2018-08-02;;LEG_E3
15584905000042018;;23347005775201893;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de materiais de expediente para formação e ressuprimento de estoque;PAULA RENATA CAMESCHI DE SOUZA;Pregoeira;;;92046.80;49224.84;homologado;2018-08-10;;LEG_E3
15584905000052018;;23347005013201897;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de divisórias.;JOAO BATISTA DE MORAIS;Pregoeiro;;;551093.28;451889.00;homologado;2018-10-04;;LEG_E3
15584905000052019;;23347000766201997;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Contratação de serviços terceirizados de limpeza e oficial de manutenção predial;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Pregoeiro;;;226591.80;196427.13;homologado;2019-07-22;;LEG_E3
