codigo_pdm;codigo_natureza;nome_natureza;grupo;status_natureza
19690;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
19690;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19690;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19691;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19691;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19692;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19692;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19694;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19694;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19696;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19696;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19714;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19720;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
19720;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19720;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19721;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19721;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19722;33903006;MATERIAL DE CONSUMO - ALIMENTOS PARA ANIMAIS;consumo;Ativo
19722;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19727;33903037;MATERIAL DE CONSUMO - SOBRESSALENTES DE ARMAMENTO;consumo;Ativo
19727;33903303;PASSAGENS E DESPESAS COM LOCOMOCAO - LOCACAO DE MEIOS DE TRANSPORTE;consumo;Ativo
19745;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
19745;33903041;MATERIAL DE CONSUMO - MATERIAL P/ UTILIZACAO EM GRAFICA;consumo;Ativo
19746;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
19746;33903041;MATERIAL DE CONSUMO - MATERIAL P/ UTILIZACAO EM GRAFICA;consumo;Ativo
19753;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19754;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19764;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19765;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19766;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
19766;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19767;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19767;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19769;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19769;99903007;;;Inativo
19772;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19774;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19776;30903007;;;Inativo
19776;30903203;;;Inativo
19777;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
2122;33903031;MATERIAL DE CONSUMO - SEMENTES, MUDAS DE PLANTAS E INSUMOS;consumo;Ativo
2122;33903011;MATERIAL DE CONSUMO - MATERIAL QUIMICO;consumo;Ativo
2156;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
2265;33903011;MATERIAL DE CONSUMO - MATERIAL QUIMICO;consumo;Ativo
24;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
249;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
27;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
27;44905236;EQUIPAMENTOS E MATERIAL PERMANENTE - MAQUINAS, INSTALACOES E UTENS. DE ESCRITORIO;permanente;Ativo
3193;33903021;MATERIAL DE CONSUMO - MATERIAL DE COPA E COZINHA;consumo;Ativo
3267;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
3475;33903026;MATERIAL DE CONSUMO - MATERIAL ELETRICO E ELETRONICO;consumo;Ativo
4111;44905233;EQUIPAMENTOS E MATERIAL PERMANENTE - EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO;permanente;Ativo
4149;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
4149;33903021;MATERIAL DE CONSUMO - MATERIAL DE COPA E COZINHA;consumo;Ativo
4149;33903010;MATERIAL DE CONSUMO - MATERIAL ODONTOLOGICO;consumo;Ativo
4149;33903035;MATERIAL DE CONSUMO - MATERIAL LABORATORIAL;consumo;Ativo
4149;33903024;MATERIAL DE CONSUMO - MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;consumo;Ativo
4149;33903019;MATERIAL DE CONSUMO - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;consumo;Ativo
4400;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
