id_licitacao_pncp;id_ata_pncp;numero_ata;numero_item;material_cod;material_nome;fornecedor_cnpj;fornecedor_nome;valor_unitario;qtd_homologada;valor_total_item
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00223;448953;PEIXE IN NATURA, VARIEDADE TILÁPIA, TIPO CORTE FILÉ, APRESENTAÇÃO SEM PELE, ESTADO DE CONSERVAÇÃO CONGELADO(A);10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;35.0;738.0;25830.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00232;461092;SAL, TIPO REFINADO, APLICAÇÃO ALIMENTÍCIA, TEOR MÁXIMO SÓDIO 390 MG/G, ADITIVOS IODATO DE POTASSIO E ANTIUMECTANTE FERROCIANETO D E;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;2.1;369.0;774.9
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00236;486402;SUCO, APRESENTAÇÃO CONCENTRADO, SABOR CAJÚ, TIPO INDUSTRIALIZADO, CARACTERÍSTICAS ADICIONAIS SEM AÇUCAR E SEM GLÚTEN;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;5.25;200.0;1050.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00243;269223;VINAGRE, MATÉRIA-PRIMA FERMENTADO ACÉTICO DE ÁLCOOL E VINHO TINTO, TIPO AGRIN, ASPECTO FÍSICO LÍQUIDO;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;2.45;492.0;1205.4
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00247;463988;AÇÚCAR, TIPO CRISTAL;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;7.95;36.0;286.2
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00249;463938;CONDIMENTO, TIPO ALHO, APRESENTAÇÃO NATURAL, ADICIONAL CABEÇA;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;16.25;288.0;4680.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00258;447383;CARNE BOVINA IN NATURA, TIPO CORTE ACÉM, APRESENTAÇÃO PEÇA INTEIRA, PROCESSAMENTO SEM OSSO, ESTADO DE CONSERVAÇÃO CONGELADO(A);10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;25.0;1680.0;42000.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00259;451059;CARNE BOVINA IN NATURA, TIPO CORTE ACÉM, APRESENTAÇÃO MOIDA, ESTADO DE CONSERVAÇÃO CONGELADO(A);10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;29.0;1440.0;41760.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00263;447732;CARNE SALGADA, TIPO CORTE MÚSCULO DIANTEIRO- CHARQUE, ORIGEM BOVINA, APRESENTAÇÃO CORTADA, ESTADO DE CONSERVAÇÃO SECO(A);40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;32.05;384.0;12307.2
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00266;447636;CARNE DE AVE IN NATURA, TIPO ANIMAL FRANGO, TIPO CORTE COXA E SOBRECOXA, APRESENTAÇÃO INTEIRO, ESTADO DE CONSERVAÇÃO CONGELADO(A), PROCESSAMENTO COM PELE, COM OSSO;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;8.4;1728.0;14515.2
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00270;458918;FARINHA DE MANDIOCA, GRUPO SECA, SUBGRUPO BRANCA, CLASSE FINA, ASPECTO FÍSICO TIPO 1, ACIDEZ BAIXA ACIDEZ;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.25;245.0;1286.25
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00271;465332;FARINHA DE TRIGO, GRUPO INDUSTRIAL, TIPO TIPO 1, ESPECIAL, INGREDIENTE ADICIONAL SEM FERMENTO;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;3.3;79.0;260.7
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00272;464553;LEGUMINOSA, VARIEDADE FEIJÃO CARIOCA, TIPO TIPO 1;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;6.0;2400.0;14400.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00273;241343;FÓSFORO, MATERIAL CORPO MADEIRA, COR CABEÇA VERMELHA, TIPO LONGO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;4.22;20.0;84.4
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00274;464392;FRUTA, TIPO GOIABA VERMELHA, APRESENTAÇÃO NATURAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.31;250.0;1327.5
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00277;445995;LEITE FLUIDO, ORIGEM DE VACA, TIPO A, TEOR GORDURA INTEGRAL, PROCESSAMENTO UHT;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;6.15;29.0;178.35
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00278;447702;EMBUTIDO, TIPO LINGUIÇA CALABRESA, TAMANHO GROSSA, TIPO PREPARAÇÃO DEFUMADA, ESTADO DE CONSERVAÇÃO RESFRIADO(A);40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;18.95;288.0;5457.6
